Specimen ID,Tag Color,CT Partner ID,Full Caste,Caste,Social Phenotype (From Excavation),Videoname,Video #,Oocyte Width (mm),Oocyte Length (mm),IT Span (mm),Head Width (mm),With Brood?,Has Pollen?,Nest Letter,Additional Notes,Specimen ID (copied),Vitellogenesis?,Yellow Bodies Present?,# of Adult Nestmates,"If Brood Present, What Brood?",Nest ID,Date Collected,Ovarian Index,Remove?,,
5,P,503,pre-worker social foundress,queen,social,20230619_113305_TR,6,0.196,0.217,2.066,1.702,Yes,No,F,,5,Yes,Yes,0,"3 pupae, 1 decapitated",F-KO-001,20230619,0.105033882,,,
7,B,506,pre-worker social foundress,queen,social,20230619_105703_TR,2,0.122,0.216,1.954,1.593,Yes,No,F,pre-worker formation,7,Yes,Yes,0,1 pigmented pupa,F-KO-002,20230619,0.110542477,,,"solitaries: laying solitary foundress, post-laying solitary foundress, or non-reproductive (newly eclosed)"
8,P,25,pre-worker social foundress,queen,social,20230619_105703_BR,4,0.201,0.408,1.771,1.487,Yes,No,F,pre-worker formation,8,Yes,Yes,0,"6 pupae, 4 pigmented & 1 decapitated",F-KO-003,20230619,0.230378317,,,"socials: pre-worker social foundress, laying (reproductive brood) queen, post (worker brood)-laying queen, worker"
14,B,502,pre-worker social foundress,queen,social,20230619_113305_BL,7,0.22,0.225,1.685,1.609,Yes,,F,,14,Yes,Yes,0,1 pupa decapitated,KO-004,20230619,0.133531157,,,
21,P,505,pre-worker social foundress,queen,social,20230619_105703_TL,1,0.101,0.254,1.815,1.7,Yes,No,F,pre-worker formation,21,Yes,Yes,0,"3 pupae,  2 pigmented",F-KO-008,20230619,0.139944904,,,
25,B,8,pre-worker social foundress,queen,social,20230619_105703_BR,4,0.191,0.32,1.789,1.584,Yes,,F,presumed reproductive; pre-worker formation,25,Yes,Yes,0,2 pigmented pupae,F-KO-009,20230619,0.178870878,,,
29,B,31,pre-worker social foundress,queen,social,20230619_113305_TL,5,0.227,0.369,1.943,1.69,Yes,,F,presumed reproductive; pre-worker formation,29,Yes,Yes,0,3 pigmented pupae,F-KO-010,20230619,0.189912506,,,
31,P,29,pre-worker social foundress,queen,social,20230619_113305_TL,5,0.476,2.091,1.934,1.633,Yes,,F,pre-worker formation,31,Yes,No,0,Brood squished,F-KO-007,20230619,1.081178904,,,
35,B,510,post-laying solitary foundress,solitary,solitary,20230620_100614_TL,9,0.237,0.324,2.124,1.62,,No,B,,35,Yes,Yes,0,,B-KO-012,20230620,0.152542373,,,
36,B,514,post-laying solitary foundress,solitary,solitary,20230620_102938_BL,15,0.174,0.267,1.848,1.608,Yes,Yes,B,,36,Yes,Yes,0,1 squished larvae,B-KO-011,20230620,0.144480519,,,
37,B,258,post-laying solitary foundress,solitary,solitary,20230620_102938_BR,16,0.219,0.173,1.704,1.527,Yes,No,A,,37,Yes,Yes,0,"3 pupae, 1 squished",A-KO-016,20230620,0.101525822,,,
41,B,518,post-laying solitary foundress,solitary,solitary,20230620_100614_BL,11,0.185,0.258,1.801,1.576,Yes,No,A,"head flew off and got lost, found it later but it got thawed out",41,Yes,No,0,1 larvae,A-KO-017,20230620,0.143253748,,,
47,B,511,laying solitary foundress,solitary,solitary,20230620_102938_TR,14,0.419,0.7,1.888,1.713,Yes,,A,,47,Yes,No,0,1 larvae,A-KO-020,20230620,0.370762712,,,
48,B,513,post-laying solitary foundress,solitary,solitary,20230620_100614_BR,12,0.234,0.298,1.821,1.546,,,A,,48,Yes,Yes,0,,A-KO-023,20230620,0.163646348,,,
50,B,520,post-laying solitary foundress,solitary,solitary,20230620_100614_TR,10,0.18,0.266,1.787,1.593,No,,A,,50,Yes,Yes,0,,A-KO-022,20230620,0.148852826,,,
54,B,533,pre-worker social foundress,queen,social,20230621_103344_TL,22,0.188,0.286,1.738,1.531,Yes,,F,could have drifted into other foundress's nest,54,Yes,Yes,1,1 pigmented pupae,F-KO-025,20230621,0.164556962,,,
56,B,538,pre-worker social foundress,queen,social,20230621_103344_BL,24,0.264,0.315,1.735,1.606,Yes,,F,could have drifted into other foundress's nest,56,Yes,Yes,1,1 pigmented pupae,F-KO-025,20230621,0.181556196,,,
58,B,536,pre-worker social foundress,queen,social,20230621_100453_BR,21,0.311,0.591,1.628,1.439,Yes,,F,everything a bit deteriorated,58,Yes,Yes,1,1 pigmented female pupa & 1 left-out male pupa,F-KO-026,20230621,0.363022113,,,
61,B,263,pre-worker social foundress,queen,social,20230621_100453_TR,19,0.236,0.237,1.782,1.531,Yes,,E,,61,Yes,Yes,0,2 squished pupae,E-KO-027,20230621,0.132996633,,,
63,B,541,pre-worker social foundress,queen,social,20230621_103344_TR,23,0.193,0.232,1.995,1.701,Yes,,E,,63,Yes,Yes,0,1 pigmented pupae,E-KO-028,20230621,0.116290727,,,
