,Origin interactor,Destination interactor,Interaction Name,Interaction Frame,Destination Area,Origin Area,Bout
0,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,5880,1101.5474042341389,803.1537377374193,1
1,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,5881,992.2021298182632,808.2030514179419,1
2,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,5883,1067.9743250011036,880.1894972152334,1
3,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7247,929.7124972913768,926.4229961418556,2
4,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7261,912.4146203528284,848.5381756769658,2
5,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7262,906.0157682844844,867.8053809153485,2
6,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7263,981.3709874534808,887.0393332212924,2
7,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7265,1051.7515114373948,941.1594041942913,2
8,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7284,1278.142219330559,894.3572137711857,2
9,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7286,1253.9158651981966,935.3945961089051,2
10,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7287,1278.0414318345906,946.4999736964776,2
11,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7289,1254.8360343059069,974.0661386271014,2
12,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7292,1108.0845829349505,1032.8306881743267,2
13,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7294,1160.73669508921,948.2205244092884,2
14,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7295,1184.6353451805526,916.8016810428708,2
15,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7296,1211.3169157143193,911.384305238756,2
16,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7297,1635.4865336854295,959.6315328242478,2
17,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7298,1686.866283274269,952.9902449225756,2
18,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7299,1491.626739331853,958.318662621923,2
19,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7300,1441.8691640955713,916.6742302327092,2
20,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7301,1438.3962144942066,963.5580189035428,2
21,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7302,1472.3164749517089,982.4357154669088,2
22,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7303,1685.787339727584,986.3790511840684,2
23,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7309,1096.4536724540817,1085.6188872209896,2
24,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7319,1083.947353254974,921.7217616817932,2
25,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7320,1059.3961606652977,932.7777881687612,2
26,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7321,1084.491396507454,934.2237901121616,2
27,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7322,1083.35745817402,947.028150370758,2
28,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7323,1174.246863986771,911.9929824888376,2
29,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7324,1207.4154423310242,911.7813361486768,2
30,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7325,1212.7745888808836,960.6196359041496,2
31,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7326,1156.9548467001086,961.041644842664,2
32,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7327,1157.324877774554,969.802903755188,2
33,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7329,1180.8877151714817,972.4252032136942,2
34,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7331,1172.8931643530582,965.6840234982394,2
35,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7332,1167.7499228832105,973.918246832852,2
36,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7333,1173.0993921407123,965.0060557925104,2
37,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7334,1149.7973672860423,940.4559002130628,2
38,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7335,1204.568058174185,949.5072101747068,2
39,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7336,1193.7178797776678,951.91471255418,2
40,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,7337,1195.566079431074,954.2017103442636,2
41,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8188,1698.4236148218652,933.381326889972,3
42,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8205,1333.3841475360032,989.7151665623376,3
43,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8244,1740.7120551500357,918.2975577353552,4
44,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8252,1752.268509557105,824.8306120190225,4
45,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8256,1449.701223265761,849.7932232576392,4
46,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8257,1450.8150323455743,849.1591238053941,4
47,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8409,944.7154871373684,1912.948032513974,5
48,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8411,1003.6873323441926,941.0658864731154,5
49,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8413,971.4595484119,868.1665723981909,5
50,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8414,1019.7888946809788,867.7589564140785,5
51,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8415,974.383303912084,877.0825525840796,5
52,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8425,931.030285030488,881.2324813020796,5
53,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8426,965.787868036989,1008.5717687081748,5
54,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8427,992.1871524125434,981.3896235868548,5
55,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8428,970.0213203705002,960.5095009683812,5
56,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8429,990.6181012073504,955.1040126955916,5
57,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8889,1070.6296966707312,1018.929935408166,6
58,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8890,1031.664936713648,1162.5676535515229,6
59,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8891,1066.7127073407887,1162.862164530857,6
60,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8892,1081.9073850976474,1161.4854587660386,6
61,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8893,1086.5398331466165,1161.6522689148314,6
62,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8894,1070.138778221065,1142.988854364271,6
63,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8895,1026.415059090119,966.9864199448372,6
64,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8896,1023.9908737094228,961.0498148099052,6
65,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8907,982.85609948732,950.5779484962252,6
66,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8908,985.3461199610308,915.2816427267692,6
67,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8909,982.2218963795444,914.371352720748,6
68,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8916,1106.1441747633248,879.4470078949354,6
69,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8917,1006.0757499108872,892.5704549817128,6
70,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8918,939.8304139960688,890.4529756137869,6
71,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8919,945.6134942093186,891.1803957103083,6
72,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8920,994.7365236103744,894.5802703940669,6
73,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8921,958.9670074387262,882.1384058433609,6
74,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8922,1003.1821817285236,891.9208999396229,6
75,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8923,973.4116607142728,880.0910341323968,6
76,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8924,937.6756789698652,875.0866667505591,6
77,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8925,948.0406408187978,881.6147519840051,6
78,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8926,967.9894974906186,884.2304365368344,6
79,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8927,990.7672961676768,884.4574111284329,6
80,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8933,1052.4216065374503,869.69482338104,6
81,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8934,1063.02677506535,868.9048354367028,6
82,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8935,1090.757073832042,868.7989797652084,6
83,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8936,1078.502797822179,871.5255687740603,6
84,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8937,1048.327529017981,888.4342129344626,6
85,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8941,1096.2592884180426,918.8733096136696,6
86,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8963,1047.9807778308054,951.2808437629066,7
87,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8964,1005.95553921206,960.5626340694472,7
88,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8965,978.1764396827092,929.111880564723,7
89,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8966,974.7570379567394,929.3539015497856,7
90,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8967,1033.467867384133,967.019522903846,7
91,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8968,1062.5992713451783,973.1395145381632,7
92,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8969,1093.230617530732,972.8527138505012,7
93,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8970,1034.115045913381,935.9069971784236,7
94,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8971,1053.8737649857062,930.5138406016272,7
95,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8972,1005.3596746092096,934.0023975427443,7
96,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8973,1087.3490373479954,933.0946652075456,7
97,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8976,1118.702555335997,993.579616629317,7
98,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9018,1823.7498871184184,1030.1475458788543,8
99,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9138,1018.2411998920616,1214.2578864565023,9
100,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9816,1161.9567741839824,1036.9305522538198,10
101,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9827,1018.4889995465362,1070.2332880907963,10
102,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9828,1053.7248586346848,1085.2563790937618,10
103,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9829,1025.0360506551606,1086.1151240832833,10
104,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9847,1196.292812267442,957.7801451378232,10
105,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9849,979.4043015997892,973.2449929584564,10
106,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9858,1009.6182082731804,942.99726650369,10
107,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9864,1006.3551686655306,1017.6727710038984,10
108,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9865,1012.8427946426316,974.4933705003232,10
109,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9866,1001.1285119053804,1022.6548502576088,10
110,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9869,1005.9898780196644,938.7880227226116,10
111,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9872,1024.73877687318,936.4587238311104,10
112,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9873,1001.0566392397744,928.3439057874546,10
113,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9874,975.4253300204846,915.7848663392766,10
114,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9875,1060.1393154409925,1049.4743855951697,10
115,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9876,1057.574256409159,1045.414555868831,10
116,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9877,1055.0839495805587,1046.496912114376,10
117,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9878,1073.435372669903,897.7211997860677,10
118,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9879,1070.174305515829,899.0660739336054,10
119,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9880,1151.6284411157442,956.0015012175294,10
120,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,9881,1149.1704214932413,915.5538541458106,10
121,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13667,1068.7282699055042,1047.4428922734562,11
122,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13683,1138.7042107014963,989.0028853878468,11
123,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13684,1139.5193722191766,988.4419495277238,11
124,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13685,1142.4494977305042,973.0999036130752,11
125,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13686,1036.4094883859973,1007.6933624053378,11
126,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13697,1078.816262829348,953.5429159368736,11
127,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13698,1011.676651283771,933.7272392740588,11
128,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13699,1043.7242068306666,945.6547631186731,11
129,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13700,1030.444901662186,939.194244644842,11
130,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13701,1044.268756562997,914.3827249941731,11
131,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13702,1025.202784690809,933.1425176423364,11
132,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13704,1026.4442927119196,976.8514968297576,11
133,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13706,1010.2533341468549,1001.0092733597472,11
134,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13707,1053.917231276242,970.1250678788904,11
135,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13710,1099.2979882139446,968.311146326936,11
136,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13749,1330.748332751813,927.0545077695174,12
137,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13750,1265.0554061347818,916.4285934730722,12
138,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13752,1158.9748060646475,866.2807724979028,12
139,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,13754,1211.0319890915227,1093.3079337792535,12
140,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14551,1257.8374151082471,1180.2589610788696,13
141,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14552,900.1732622754478,1202.0828827244047,13
142,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14555,1011.3907186191028,1335.3721885909144,13
143,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14558,1043.7640843112488,991.1934879448266,13
144,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14559,1093.3296724286786,988.295885789587,13
145,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14560,1091.643676640848,987.6688181679724,13
146,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14563,1052.7411479769544,934.8353560091056,13
147,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14568,1003.0923164754922,1448.3238059100934,13
148,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14570,1094.5352916536954,1388.174717950264,13
149,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14571,1069.864286424707,1496.5428082078035,13
150,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14572,1069.5783016579248,1562.3179121843395,13
151,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14573,1047.160845333503,1505.5639724747473,13
152,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14574,955.9357065217336,1424.0373035914074,13
153,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14575,1088.008361180764,993.2096443102369,13
154,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14576,1043.5859389091486,1476.4524928459286,13
155,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14579,1030.4234710381593,1417.466295801508,13
