,Origin interactor,Destination interactor,Interaction Name,Interaction Frame,Destination Area,Origin Area,Bout
0,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8011,1038.7286783167042,975.8804477332336,1
1,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8012,990.2658825486274,993.4844926966206,1
2,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8014,928.7716428333878,1114.605550727068,1
3,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8048,936.865160079056,1098.4084468608369,2
4,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8050,978.942326694696,1209.908258566832,2
5,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8051,961.2783916503972,1054.096771276166,2
6,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8245,2217.416209190487,1140.3995187542787,3
7,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,8599,1107.8001355651284,788.2933254810222,4
8,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11592,1163.2880745207124,998.4714871670516,5
9,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11623,1042.5750250404224,1006.6418889977438,6
10,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14080,947.215808445243,1029.6120705967076,7
11,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14083,904.2943650096968,1005.8888444047532,7
12,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,14756,1015.6189684787016,918.8261870501922,8
13,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,17402,935.214127595422,1002.8144852206044,9
14,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,17403,951.8503328940376,982.3844224984048,9
15,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,17404,975.0604561705326,1053.8628319751665,9
16,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,17409,925.210930062754,1072.1376331286533,9
