,Origin interactor,Destination interactor,Interaction Name,Interaction Frame,Destination Area,Origin Area,Bout
14,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,547,4098.941891954825,1048.1470698128717,10
15,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1195,4089.25718851887,901.5195165343862,11
16,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1197,4119.350307079051,1124.940149496416,11
17,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1200,4137.813228631534,908.1078264616718,11
18,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1202,4068.224947258909,901.8588336751988,11
19,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1204,4032.983391203689,804.366715421419,11
20,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1205,3860.5408683790392,1229.6208734411382,11
21,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1206,3992.024728318932,852.6409518349693,11
22,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1216,3709.324921808825,889.679668625878,11
23,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1219,4252.460917516242,1012.4958373312096,11
24,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1220,4271.382045068819,930.62271587462,11
25,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1221,3551.623935473914,902.8310660403672,11
0,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,4730,3996.691214529116,1114.6569442283594,1
1,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,4736,3803.438887754992,1180.676360961981,1
26,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,4791,3503.9744662735125,1041.128569992292,12
27,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,4795,3408.5416502208195,992.1367991421448,12
28,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5022,3732.490924610036,1070.246665071788,13
29,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5023,3616.652120040041,1013.1729292080076,13
30,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5025,3460.3587600232217,898.406780588706,13
31,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5026,3544.9566208152646,977.6646063256272,13
32,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5032,3346.3655841092,884.5997041610566,13
33,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5059,3664.5192127637806,873.7731389151703,14
34,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5060,3631.660662604702,1010.1416015318434,14
35,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5467,3834.23310444955,974.9127834219946,15
36,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5507,3345.048065906009,904.2260796359624,16
37,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5511,3399.4626515912523,997.4328379675566,16
38,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5599,3547.842737898361,953.5230843994268,17
39,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5749,3951.945104617209,1088.3045456142536,18
40,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5750,4036.719075304435,1059.7445335732448,18
41,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5751,3981.478403308198,1027.515980415072,18
42,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5752,3838.512912127136,961.5834345359316,18
2,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,5967,4237.054405131011,1232.7811298349166,2
3,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,7585,3743.902264490992,970.3744993702762,3
4,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,7586,4096.991815127257,958.3324151034508,3
43,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,7791,4235.171311435702,1135.840536677283,19
44,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,7792,4212.399410656118,1287.331880920813,19
45,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,8075,3922.637351268599,1119.2385761316964,20
46,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,8076,4075.707852117772,1029.4888839989949,20
47,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,8078,3753.906173116159,923.4953261311708,20
48,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,8125,3948.824972849705,949.6438802121772,21
49,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,8158,3811.5243265774698,1042.2105912135755,22
50,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,8236,3645.438479477117,982.0760630286854,23
5,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,8679,3340.292908698976,967.970103953358,4
51,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,8995,3695.434189679984,942.072344702434,24
52,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,9026,3722.126396694368,936.37647764583,25
6,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,10098,3971.5674788374354,1081.1202313352142,5
53,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,10134,3938.3124044112,1057.4997996802329,26
54,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,10137,3811.413013916937,1022.0084304146264,26
55,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,10164,3833.7450767580167,1045.5968983039972,27
7,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,10535,4256.843726860495,974.7873654452676,6
8,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,10538,3930.015416189563,1325.0191762994175,6
9,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,10544,4092.794301732807,1016.6299266567256,6
10,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,10545,3975.734923741266,1254.989247252582,6
11,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,10862,4124.99514454243,1564.296414779431,7
56,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11208,3975.610908514994,1077.9036828391377,28
57,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11209,3806.1055133943314,1020.14423454228,28
58,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11214,3965.6848467399495,922.4076314319508,28
59,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11216,3820.082769591428,998.2603796837616,28
60,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11217,3801.360519228728,1001.752602889447,28
61,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11229,3953.979014310987,930.955753127646,28
62,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11288,3916.995059014761,899.6561476906651,29
63,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11289,3822.227194585786,927.2190808499836,29
64,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11290,3764.146661304345,965.202405082058,29
65,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11291,3961.400576804943,1010.7077364300992,29
66,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11297,4072.1484442394535,1039.7187461709827,29
67,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11298,3937.220273108711,1027.602105713496,29
68,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11301,3780.3236923938457,917.6503860188808,29
69,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11305,3790.9182402232814,1088.6250672823844,29
70,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11309,3891.616271769225,978.0438142418424,29
71,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11313,3954.033764111849,955.277515211157,29
72,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11340,3911.080295999725,1018.5683241833156,30
73,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11341,3884.180157486816,920.6640544217728,30
74,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11342,3870.836843992728,884.5195333593053,30
75,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11343,4009.317356903644,907.1455227380632,30
76,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11348,3944.295968062614,983.2287500836871,30
77,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11351,3945.909775537808,1092.4800884890356,30
78,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11377,4010.222970697088,940.448449190381,31
79,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11431,3856.4372308044217,986.0574843557706,32
80,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11564,3927.48226529658,999.1023987334283,33
81,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11585,4018.343556440034,949.4639623549908,34
82,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11587,4116.1250827596605,1049.2278652559555,34
83,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11603,3996.583424209295,942.4527395889316,34
84,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11829,3922.279064403033,1088.986308840811,35
12,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,11940,4024.5662149912846,1619.324748133436,8
85,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12109,3986.863924345247,973.232852824749,36
86,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12112,4133.591294043425,963.5288097509588,36
87,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12114,4169.9712355500415,823.4765149874188,36
88,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12157,3833.057395625073,948.778616512565,37
89,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12158,3935.4162210370528,944.4623166378236,37
90,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12266,3963.019407246557,1023.8194306244628,38
91,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12268,3671.5532612768384,992.6620310532852,38
92,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12270,3833.791400365086,986.4367728060822,38
93,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12271,3740.275519301927,873.4611653079394,38
94,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12272,3701.444837475028,847.7775776051376,38
95,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12273,3959.844496938263,877.0593339579427,38
96,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12367,3771.6379310585776,1128.0967771307726,39
97,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12370,3970.736680962099,1076.3043498954323,39
98,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12373,3736.624377723561,1171.5807744922645,39
99,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12374,3773.132997232908,1018.2223164719928,39
100,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12376,3750.8545055827326,1157.4979289086446,39
101,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12377,3834.799894281025,1036.1087592003348,39
102,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12384,4011.981672861739,1039.8272063508325,39
103,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12385,3894.020475230078,940.787943898542,39
104,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12386,3817.9190723702936,1097.327614877421,39
105,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12410,3926.420043892738,938.858482254376,40
106,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12454,3973.688781896356,1090.796830420204,41
107,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12456,4055.178331148081,909.7208147892708,41
108,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12457,3923.8574406364314,847.3073816382,41
109,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12465,4084.623926486077,1023.9738327613748,41
110,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12466,4164.329384152661,1089.3764405490615,41
111,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12804,4057.873517160957,864.6650881520517,42
112,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12807,4094.4735980208575,901.0135102924154,42
113,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12808,4166.856480611451,922.8300340035032,42
114,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12809,4102.522254892497,945.3158233570492,42
115,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12810,4030.6222099569295,993.4646464704998,42
116,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12919,3780.073703340755,978.0683970257712,43
117,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12927,3605.374307515848,1062.18633080811,43
118,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12930,3527.785560906729,902.7179692856084,43
119,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12933,3282.375781843816,993.0613445207644,43
120,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12935,3399.652246550258,1028.7523883023682,43
121,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12936,3402.1410045389125,1109.978039104778,43
122,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12937,3396.8175198882263,1123.6911997317925,43
123,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12941,3252.4263708794624,989.4206960730994,43
124,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13014,4086.1474537826152,967.307999835798,44
125,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13052,3800.626568337871,923.174925733582,45
126,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13112,4195.546867393828,993.9852955127648,46
127,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13115,4110.24305291791,926.8946169159108,46
128,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13145,3883.1027366581234,1004.2704576173192,47
129,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13146,3904.936728614348,1076.7488371702482,47
130,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13168,4140.751764348959,1045.100356932187,48
131,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13169,4057.5834538729114,860.1371445301036,48
132,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13242,3800.4784058056807,1060.495217161538,49
133,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13318,3912.6570565078287,1061.42363430525,50
134,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13329,4300.509548016064,963.000915266681,50
135,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13334,3954.9301051537727,1004.6174433915228,50
136,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13335,4184.492707135073,997.1506537693476,50
137,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13338,4115.694536353303,1053.8658900813566,50
138,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13339,4034.45001979231,1043.2954087644353,50
139,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13340,4360.540539239076,1054.4960160330372,50
140,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13374,4427.561649256087,872.8635431253846,51
141,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13395,4059.4821394435226,1111.2406008084704,52
142,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13405,4313.974851123463,1111.6445794339334,52
143,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,13442,3701.026574008517,869.7736535473534,53
