,Origin interactor,Destination interactor,Interaction Name,Interaction Frame,Destination Area,Origin Area,Bout
0,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,2262,3745.8532740142728,1265.3131273872434,1
11,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5160,3719.499944720682,1140.2255521629809,8
12,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5185,3749.994988607104,1392.6768160800846,9
13,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5186,3785.477286872464,1475.071279223045,9
14,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5187,3702.1586337746426,1217.888319719938,9
1,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,5216,5391.962304323472,945.1215851141192,2
15,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,5216,3554.625848614287,830.3211257491629,10
2,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,5219,3519.076418373032,1592.3485067527895,2
3,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,5236,3781.361759013175,774.0736351425444,2
4,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,5961,3700.837029618385,1229.668854446895,3
16,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,6113,3341.6000844793184,1034.6919223850605,11
5,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,6113,3237.477793428258,1195.1713458514546,4
6,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,6600,3545.468767356339,1048.1462460322082,5
17,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,6600,4863.423595756628,1038.5344287372998,12
18,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,9240,3468.0724465337644,1178.2690305137269,13
19,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,10507,3681.702611748639,1795.1954710201703,14
20,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,10508,3642.301613324272,1054.9826251038294,14
21,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,10517,3660.839122646252,891.7945536343783,14
22,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,10521,3819.389813961259,964.4360916036223,14
23,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,10704,3628.313820371328,896.586580570952,15
24,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,10705,3558.3922259300257,870.6175521779419,15
25,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11113,3692.274306926142,1074.294984483268,16
26,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,12958,3929.7153983320254,1055.7617267962532,17
27,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,16650,3915.542266998187,939.6978390223117,18
28,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,16651,3790.547789000026,995.9721956564296,18
29,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,16652,3771.924689616245,1032.8060933147265,18
30,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,16653,3711.774544982705,995.9763323282128,18
31,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,16656,3763.1557150646954,968.1743549934496,18
32,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,16665,3756.391982356586,943.7381812923932,18
33,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,16669,3750.762577810268,1004.0671105090444,18
34,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,16670,3807.1661938204456,984.7883715271512,18
35,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,16671,3896.919246555989,988.286065115516,18
36,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,16672,3801.4784033563055,964.3619147443412,18
37,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,16674,3848.358872827442,935.531191540888,18
38,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,16678,3781.599639771088,882.5695094388929,18
39,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,16680,3746.220221965571,977.1832866721708,18
40,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,16693,3519.471019451839,1025.9670285077802,18
7,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,17247,3923.0849650885298,1042.3429978953495,6
8,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,17622,3393.7712374121743,1277.318169028752,7
41,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,17622,4512.201771407797,1133.9976116247683,19
9,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,17623,3398.095127268774,1276.0205956887644,7
42,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,17623,4530.5997462324285,1078.902303208174,19
10,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,17624,3494.1639353315163,1361.0309786047806,7
43,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,17624,4520.893758992169,989.1570114270884,19
