,Origin interactor,Destination interactor,Interaction Name,Interaction Frame,Destination Area,Origin Area,Bout
19,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,340,3584.31433449587,832.627659540912,9
20,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,341,3578.53549583343,830.0591799435787,9
21,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,344,3585.39733897324,836.2162261533607,9
22,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,349,3592.453807820785,852.4903516312903,9
23,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,350,3594.2106234301814,853.285639689519,9
24,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,367,3696.159079499362,914.0105080460916,9
0,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,1393,3917.831621613516,1036.0935651304303,1
1,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,1396,3683.7398821736224,998.9090431328532,1
2,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,2898,3963.1967567584015,1025.8718676990093,2
3,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,2899,3825.20018713351,988.0916127143776,2
4,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,7203,3360.5024614478057,825.2572908548727,3
5,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,7206,3165.5170942198133,1003.7367963162452,3
6,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,7207,3473.555836606263,945.003739356284,3
7,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,7468,3852.1959186119993,1000.089600933698,4
8,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,7470,3693.176376355928,1063.5485820155784,4
9,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,7476,3816.813350277088,1036.03967999675,4
10,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,7477,3939.394236703769,1014.6296580676394,4
11,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,7543,3952.5493411292978,1124.759648461756,5
12,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,7558,3985.6907788195945,1121.9324746071643,5
13,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,7559,4013.276725494453,1036.6861998078389,5
14,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,7560,3948.1322942908528,1149.0279852479655,5
25,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,9584,3834.298435061409,1056.8323172568223,10
26,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,9591,3792.814804562801,968.9563703154104,10
27,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,9592,3780.787287068215,983.354418459503,10
28,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,9624,4033.578263037645,860.546093876229,11
29,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,9625,3912.221426965059,898.6351483561525,11
30,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,9640,3670.6101578935695,948.2146886426016,11
31,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,9642,3688.612022034965,899.3414716347212,11
32,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11704,3673.088168670264,873.2163679275498,12
33,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11705,3747.513112184656,858.6437527974483,12
34,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11707,3596.2604284130707,863.0557352125768,12
35,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11708,3751.987169345384,863.7339871607029,12
36,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11709,3526.767807489229,888.8708778942135,12
37,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11710,3826.591299528218,860.9074093556624,12
38,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11713,3711.919754423349,826.1035244265599,12
39,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,11716,4563.962947044751,839.4370410731811,12
15,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,12224,3311.622412571622,1056.1159335657264,6
16,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,13757,4177.064924926194,1095.7982136910705,7
17,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,13765,4767.487041181998,1152.5620381311385,7
18,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,13856,3909.642841084296,1095.0803201249105,8
40,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,14049,3718.569783468881,858.4778084583029,13
