,Origin interactor,Destination interactor,Interaction Name,Interaction Frame,Destination Area,Origin Area,Bout
0,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,404,2977.8628528601425,912.2194633129656,1
1,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,405,2991.6506349063525,927.0949977809246,1
2,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,407,3173.3682714166475,923.2912140212104,1
3,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,408,3158.234412991229,921.4128748377316,1
4,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,410,2985.5066904146,932.6616877993164,1
5,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,417,3443.5905280133143,1050.404390969877,1
6,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,472,3557.5200170250546,947.580643611334,2
7,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,473,3566.016124142849,917.185877816844,2
8,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,474,3567.4001680103515,947.1813822824442,2
9,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,475,3404.8833913776302,947.6425631591056,2
10,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,476,3435.4931420562184,940.1013822710692,2
11,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,480,3593.269288686236,989.8031220436554,2
12,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,481,3621.27459913023,939.1201956268688,2
13,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,482,3458.1186591361707,934.434069105394,2
14,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,511,3584.6173299882453,968.4622599130524,3
15,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,512,3752.8311469586897,992.4538241951788,3
16,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,513,3542.346258620541,926.1702176028878,3
17,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,514,3583.7424431862696,955.2991624457044,3
18,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,515,3578.836983242746,1053.7501388805736,3
19,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,516,3468.267555534856,942.7534774337828,3
