,Origin interactor,Destination interactor,Interaction Name,Interaction Frame,Destination Area,Origin Area,Bout
0,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11098,955.111831867556,988.0936017115498,1
1,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11099,990.299033107154,968.025215752298,1
2,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11100,918.869468536152,822.0876633795815,1
3,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11165,1040.291505283916,951.4354629132677,2
4,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11168,1070.3917183510753,938.3631852220446,2
5,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11174,1083.167618902501,967.7764350368816,2
6,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11175,994.1745603530902,935.3346857742152,2
7,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11176,1041.3689024991468,915.7210477557792,2
8,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11177,1192.7503539264744,929.6476679575404,2
9,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11180,899.8837717571431,960.0727635630744,2
10,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11181,969.9376012802502,938.4976596363985,2
11,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11182,1046.0836413768209,930.6356289806045,2
12,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11183,1045.4991647569748,841.2915876796942,2
13,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11431,1025.197131291473,991.4225161892924,3
14,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11433,922.5816238959728,1032.4922558660237,3
15,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11434,919.1737600328564,999.071764273058,3
16,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11435,955.1062891252556,1006.2188097303352,3
17,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11454,1128.8100536701922,996.172097553284,3
18,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11455,1049.0549628327417,1031.288132439968,3
19,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11725,1022.7125978125156,1065.2449798182818,4
20,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11726,980.8223337762558,945.8628766103868,4
21,ArUcoTag#black,ArUcoTag#purple,Head_to_Head,11727,970.4874055035528,1011.060050540712,4
