,Origin interactor,Destination interactor,Interaction Name,Interaction Frame,Destination Area,Origin Area,Bout
13,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,424,3600.265489184564,982.743932584872,6
14,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,453,3723.4856681012,969.2490875589668,7
15,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,454,3699.2331797287584,973.2733506700266,7
16,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,672,4256.574387170371,1075.3510841407997,8
17,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,673,4272.552131354317,1022.6574541210445,8
18,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,674,4312.875274029241,1009.911136018686,8
19,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,675,4288.033209640822,957.3718105030092,8
20,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,680,4282.464859134613,978.704527032654,8
21,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,681,4243.640990201792,927.7517988810812,8
22,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,682,4430.762725505769,966.3981148671022,8
23,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,694,4400.131331685217,1030.3768839073991,8
24,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,695,4363.818888775008,1047.7332094458657,8
25,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,891,3828.6405214770666,921.6430889605472,9
26,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,898,3703.387144686066,1016.2093540019408,9
27,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,899,3678.5625446393633,1010.167454431382,9
28,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,901,3671.472037257443,991.553235454508,9
29,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,902,3834.732140559842,1004.2563560663858,9
30,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,903,3700.866482475734,993.439119395373,9
31,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,908,4099.838085073067,902.4463247680366,9
32,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,959,3529.507887882145,1336.427375294427,10
33,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,960,3516.790233895059,1266.2948853119626,10
0,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,1066,3490.921105031743,978.3836919469676,1
34,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1067,3945.183821083297,930.6494277157092,11
1,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,1067,3424.6039239545426,982.9063685243716,1
35,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1068,3955.451352503156,903.3235852669336,11
2,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,1068,3298.2330716752704,951.134123502526,1
36,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1439,3305.7646689167914,944.4205708350756,12
37,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1485,3762.302308420192,1036.831539101253,13
38,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1486,3782.8183662500414,1004.6011435528,13
39,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1487,3901.798308221998,1009.4740204944006,13
40,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1488,3904.314071599994,1031.9544002469013,13
41,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1489,3889.356815842442,935.5276979458316,13
42,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1495,4035.157450217088,1034.937591004349,13
43,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1496,4029.890144976031,1108.7207830759664,13
44,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1497,3920.480488460962,1230.1114836166075,13
45,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1498,3928.006108303345,1159.5092530146292,13
46,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1714,4203.421659788546,1004.40949908811,14
47,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1735,3927.0256369184426,936.7168703229588,15
3,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,1739,3082.864444955202,1715.4514684947403,2
48,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,1739,3784.497585816286,940.7449144898188,15
4,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,1744,2943.1377395277354,1373.4161299175016,2
5,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,1758,3036.263814132595,970.8916819387332,2
6,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,1759,3037.075196611738,1092.0613077816345,2
7,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,1760,3010.9288937479546,965.033018742792,2
8,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,1833,3229.466413287626,866.9422211783782,3
49,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,2200,3567.458958908384,1062.1854456688425,16
50,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,2201,3500.8367252075777,1092.0338453407626,16
51,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,2202,3494.00338548084,1130.9218647551354,16
52,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,2210,3538.810346968993,1082.8006465568965,16
53,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,2211,3447.3952135737723,1103.4369115826748,16
54,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,2262,3398.929370596028,1009.1159281034747,17
55,ArUcoTag#purple,ArUcoTag#black,Head_to_Body,2263,3611.087973151,1044.9047486141126,17
9,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,2809,3244.4071801817267,1087.424825404161,4
10,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,2810,3316.728136231706,1284.5751140729292,4
11,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,2811,3227.0804414413374,1137.5799205342332,4
12,ArUcoTag#black,ArUcoTag#purple,Head_to_Body,2832,3363.160400633614,1140.0347334051462,5
