Origin interactor	Destination interactor	Interaction Name	Interaction Frame	Destination Area	Origin Area
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	1049	943.8930004887982	1006.7940138005038
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4228	958.8188068014522	1010.8045648580566
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4229	960.2652941037915	963.5313526546729
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4230	948.3216497477079	992.308744739263
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4231	923.6081350338183	851.3948496213002
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4232	934.6791196540996	845.8079087769594
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4233	976.5978616286197	1062.9925487630899
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4234	990.338558264315	1034.5192898454034
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4237	878.1886134237772	771.7618434893279
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4238	942.9840400671637	863.09914324624
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4240	1091.0631577759602	761.5264870889487
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4248	1094.353650243808	791.2652783440323
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4267	1325.1711233861242	1166.341139408089
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4295	1119.3919915139559	1175.0787691411351
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4299	1137.931504828152	1060.103033190247
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4300	1101.8735965047345	1042.154899711528
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4301	1110.266231139455	1018.2579085780471
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4302	1085.862052215134	1009.5947531067853
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4303	810.5862048928497	1001.4071325845593
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4316	1801.1002402821632	1133.3931929334674
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	4316	2345.3915837887457	1133.3931929334674
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	4316	3645.297792054319	1801.1002402821632
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4317	1432.4342056797175	1226.152595484388
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	4317	2385.619207873448	1226.152595484388
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	4317	3480.591979081587	1432.4342056797175
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4334	1308.9303925003817	1130.6104450899209
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	4334	2486.5042242952977	1130.6104450899209
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	4334	3307.272797031501	1308.9303925003817
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4335	1542.650951030313	1190.5541451071172
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	4335	2487.653914551342	1190.5541451071172
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	4335	3381.55315179221	1542.650951030313
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4336	1541.3049265679747	1156.994050131599
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	4336	2464.3628754443516	1156.994050131599
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	4336	3273.2020991369122	1541.3049265679747
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4337	1435.3022463757525	1153.6087620654678
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	4337	2484.982454241991	1153.6087620654678
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	4337	3269.3625206029565	1435.3022463757525
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4339	1315.2646800775722	1161.9473478281093
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	4339	2458.4331666971575	1161.9473478281093
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	4339	3586.360748315265	1315.2646800775722
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4340	1423.0749519693345	1330.5991118875531
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	4340	2182.23329671927	1330.5991118875531
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	4340	3392.667997654194	1423.0749519693345
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4341	1425.1702581380432	1281.625300589624
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	4341	2167.261192895864	1281.625300589624
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	4341	3387.1058134026953	1425.1702581380432
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4342	1384.5211277339697	1212.5451955012397
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	4342	2394.6969411971877	1212.5451955012397
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	4342	3439.0017628655874	1384.5211277339697
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4343	1380.556543236601	1183.5755160172732
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	4343	2399.794242358905	1183.5755160172732
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	4343	3390.1570264514758	1380.556543236601
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4344	1139.9066324374583	1082.0176211101777
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	4344	2408.6777744680144	1082.0176211101777
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	4344	3479.7887011226617	1139.9066324374583
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4345	1295.9343183556584	1083.5554011573638
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	4345	2290.889697797125	1083.5554011573638
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	4345	3485.7795557641093	1295.9343183556584
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4346	1296.5704938528531	1218.6404037852683
