Origin interactor	Destination interactor	Interaction Name	Interaction Frame	Destination Area	Origin Area
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	391	3806.4117357330506	872.7369101965471
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	1581	1789.8553025850008	1009.3518561856416
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	1900	878.1495316784436	1052.8444538780436
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	1952	1369.0026551512613	919.9961130547591
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	1952	3645.6792124016824	919.9961130547591
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	1955	3050.9972198396804	914.6510834184872
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	1956	3296.410132447863	880.1682557717215
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	1957	2827.6285057448663	893.3489864479922
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2486	1010.8381081126411	949.1001267605906
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2488	860.0429008193719	963.6860798119951
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2489	946.3222127531367	978.5629152813932
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2511	991.1088516491526	974.6196768962815
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2512	942.4043589027733	1049.1678669182838
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2535	1181.7091069675193	1059.6145278277625
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2928	1085.4581280066195	972.5202151668065
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2929	1102.0456273095458	938.5568372993503
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2930	1073.1564125869938	947.2893717901518
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2931	1020.9377924104733	1095.4230864881906
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2932	1059.4519729785204	1099.088051495089
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3886	1588.8880494039945	1009.3971224500742
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	8872	3679.4278993323883	839.082325738214
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	8878	4042.1442771560255	1057.1707527622086
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9099	1016.2173809595059	773.1464466226032
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9100	963.8929714956779	1022.6314324310789
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9101	955.5757995001827	990.216454721619
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9102	954.676884249285	1004.7255608667374
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9103	994.3725173362643	969.2777635924932
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9104	1039.6173633132316	921.3240145066331
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9105	1050.3138265166813	957.3198846751072
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9120	1005.5127003021943	1056.6956176948063
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9127	1065.7630323229826	1081.8959977566115
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9128	977.7040988352211	924.7856429831563
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9129	874.0097671449082	994.0073906154429
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9134	952.9429920847117	937.7606193254114
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9135	964.3487307977384	916.5347079957459
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9136	939.0364486534089	877.4516326479312
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9137	964.553687482685	985.0778794096116
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9138	988.0004137973087	1015.1370323229645
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9139	1004.9219121353542	1014.1559811811468
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9140	999.7296331419315	1013.9849753705241
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9150	931.3341343935564	1122.5459057203138
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9151	946.1652879241504	1109.9569685700437
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9174	978.5339588511841	929.7788116585613
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	10904	909.5644073837888	1667.1740431890842
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	10905	979.4011170863503	1766.1690489842226
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	10907	1025.348298182445	1686.3704433583798
