Origin interactor	Destination interactor	Interaction Name	Interaction Frame	Destination Area	Origin Area
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	340	3584.31433449587	832.627659540912
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	341	3578.53549583343	830.0591799435787
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	344	3585.39733897324	836.2162261533607
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	349	3592.453807820785	852.4903516312903
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	350	3594.2106234301814	853.285639689519
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	367	3696.159079499362	914.0105080460917
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	1131	967.0601603256492	916.9482996264359
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	1135	1200.4469593754113	1025.7630939725216
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	1393	3917.8316216135163	1036.0935651304305
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	1396	3683.7398821736224	998.9090431328533
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	1713	1026.726438327143	1068.4761577497018
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2661	1224.2283414283152	897.7538024774467
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2663	1449.9296794520592	1104.960590676829
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	2898	3963.1967567584015	1025.8718676990093
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	2899	3825.20018713351	988.0916127143776
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3675	1584.933315700534	1067.0849060093965
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3906	918.3291428523817	989.2473059430457
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4066	1082.8644802586255	923.4661074159962
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4068	1179.723286228439	1035.9736679222244
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4083	736.6042074877697	999.4116828168964
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4084	974.1597607957409	994.7304335065264
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4085	944.501373425462	1001.6013143575592
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	5428	1100.1713231859073	968.1734985965952
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	5429	1097.5754541447518	996.454871239076
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	5463	1145.045755690241	1127.5032414852385
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	5464	964.7018662554837	975.9347327059389
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	5619	947.1218577384172	785.8127060190242
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	5620	985.0016373951474	782.901425644213
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	5621	964.6419472553047	802.6296339793314
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	6112	837.5108818082887	1066.9706283693783
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	7180	1630.7238370684977	973.5356871433904
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	7185	1628.7365556360942	1084.9911199523326
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	7203	3360.5024614478057	825.2572908548727
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	7206	3165.5170942198133	1003.7367963162453
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	7207	3473.555836606263	945.003739356284
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	7468	3852.1959186119993	1000.0896009336981
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	7470	3693.1763763559275	1063.5485820155784
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	7476	3816.813350277088	1036.03967999675
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	7477	3939.394236703769	1014.6296580676394
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	7543	3952.5493411292978	1124.759648461756
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	7558	3985.6907788195945	1121.9324746071645
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	7559	4013.276725494453	1036.6861998078389
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	7560	3948.1322942908528	1149.0279852479657
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	7841	1075.7193829437729	926.056015381234
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	7843	1083.9125772806283	1092.116263882671
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	8605	974.9928162633564	1127.881605998819
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	8606	1002.9977025859038	1138.5245695759015
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	8607	1032.6554735104194	1071.3831154202344
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	8620	971.7600396035278	1017.6245392984348
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	8622	1166.9037200037103	1158.3848648174762
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	9584	3834.298435061409	1056.8323172568225
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	9591	3792.8148045628013	968.9563703154105
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	9592	3780.787287068215	983.354418459503
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	9624	4033.5782630376452	860.546093876229
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	9625	3912.2214269650594	898.6351483561525
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	9640	3670.6101578935704	948.2146886426015
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	9642	3688.6120220349653	899.3414716347212
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11189	1006.4401790001717	1167.3362796254212
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	11704	3673.088168670264	873.2163679275498
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	11705	3747.513112184656	858.6437527974483
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	11707	3596.2604284130707	863.0557352125768
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	11708	3751.9871693453842	863.7339871607029
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	11709	3526.767807489229	888.8708778942135
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	11710	3826.591299528218	860.9074093556624
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	11713	3711.9197544233484	826.1035244265599
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	11716	4563.962947044751	839.4370410731811
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	12140	926.1959264045876	1003.9933382612203
