Origin interactor	Destination interactor	Interaction Name	Interaction Frame	Destination Area	Origin Area
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	354	944.1200642633777	955.5148051263418
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	355	1014.6005276174145	947.0168970070694
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	357	956.4185881117321	1039.9267763871621
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	358	934.7726368213367	1044.6827446936943
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	359	904.0071442881773	987.262019110526
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	360	937.4533475847917	987.4613936436557
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	378	1033.1901637414683	1051.8483209381184
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	380	844.8810906948297	1028.613601770334
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	382	854.4317051144787	1039.0340342088232
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	729	3863.522414658958	920.1961339852162
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2485	1025.1369808642312	880.6198403793622
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3636	970.0755818702124	923.957253154394
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3637	995.9057987494339	964.7811596840447
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3638	1015.4902137804497	947.5832732105101
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3654	1085.7185681599997	981.1263184062096
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3659	927.9704270472807	927.1696767297805
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3660	921.6703436551244	787.6868046316984
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3661	1031.8608615288713	1112.6570148627513
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3692	1096.7715577351864	1071.2808529735519
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4527	1003.3275238373809	955.872986787935
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4528	1055.1422734168852	1008.623199162386
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4529	1053.0863824655755	932.5067952119904
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4532	1000.2063950994524	1007.6700821137516
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4533	1013.2155452621645	1027.4073984591455
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4534	996.0716606302458	911.7215348038471
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4536	1005.6334156114323	1015.6594062598598
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4537	996.6487240276335	927.1811630820132
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	7614	1066.661043288965	961.8312069800065
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	7677	1063.83431011985	1572.6609021871564
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	8255	780.5526874571813	961.7152841848902
