Origin interactor	Destination interactor	Interaction Name	Interaction Frame	Destination Area	Origin Area
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3241	968.5939445889085	1038.599039449155
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3242	965.4722446536883	957.0183345434695
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3263	973.8356788891682	970.8392910284243
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3606	901.0876305060168	1028.2934414872384
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3607	868.1300432819	1102.0976077650805
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3608	964.4986138531737	1092.982349802539
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4134	1023.6171299057346	1063.7669514625964
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4135	976.3271149556916	1071.5440840183992
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4136	1029.09656546982	1071.6417426266194
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4767	971.1508421091193	1033.2669681771392
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4794	1123.7574063407421	1032.9136816255764
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4795	1130.380827588524	980.9739165494109
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	4796	1077.079974927864	1018.7309080553761
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	9058	3919.729311626036	892.1789277021315
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9211	1140.3888185390176	901.4269097761859
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9213	944.17794877548	1033.593736453851
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	9238	1059.908434623598	957.6836186284801
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11009	1096.0015395882428	1159.8985878090184
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11010	1044.6552188773762	1034.2705838731629
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11011	1031.5746419888712	1023.7993805239024
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11012	1027.8177340464235	1013.3807216441909
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11014	1036.4302886454432	1137.3850153521273
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11015	1054.9147037764988	975.484466374376
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11016	1046.8085034544026	1260.152509505567
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11017	1020.2678814891523	1190.2348706010775
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11018	1028.8739979509255	1215.8032835177853
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11019	1028.8510667455714	1205.0998228446933
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11020	1070.5423453083404	1204.0140306645371
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11022	1026.269873440921	1200.267029081861
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11024	1048.4292955846365	1303.3623301970765
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11025	1040.5915678366762	1459.1162298485406
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11027	996.257353750089	1317.8352189348502
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11029	975.3238678771307	1284.037646416241
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11200	1099.3024536951054	899.8209388262542
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11201	1090.929027711547	939.1956441302551
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	12277	1130.8269006757548	932.6379225778459
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	12278	1025.7153215706599	958.2017521689033
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	12281	984.5926103781801	1106.058806893933
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	12282	968.3025622575408	978.7869673972533
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	12283	908.3510758708984	893.108035753679
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	12284	1086.7257258594896	948.175571657575
