Origin interactor	Destination interactor	Interaction Name	Interaction Frame	Destination Area	Origin Area
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	1459	1034.7390186836983	955.8520643279523
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	1461	1022.3786261729393	1016.0604630436549
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2526	1043.7481273762544	943.7421146947798
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2527	990.8773675323732	926.9600458163352
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	2548	844.929453534576	951.8224761504086
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3091	988.6361346856812	1002.3533955152521
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3094	944.0887054427261	1006.5266356875921
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3098	1004.6903531105712	1001.6009560370633
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3099	963.5836835288725	1038.6426670872436
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3103	980.6351742929012	949.4683214193087
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3104	939.3276837458956	985.7331867304649
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3111	1025.2167960517565	1077.4334666724017
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3115	1183.9602803555335	1102.3641953970287
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3134	1316.8027679946351	1650.960643273045
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	3134	2955.337151498897	1650.960643273045
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3135	1210.1632414277149	1724.448879538576
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	3135	2748.20845444521	1724.448879538576
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3136	933.0750041869849	1509.842165481805
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3137	863.6267503017092	981.1524642743436
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3881	884.0426741699117	1864.0995683014212
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	3881	3687.184993065832	1864.0995683014212
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	3881	3463.333700334665	884.0426741699117
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	3882	942.1417778575446	1903.3964051350226
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	3882	3662.33284701684	1903.3964051350226
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	3882	3332.495343618927	942.1417778575446
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	5424	3529.1185608163387	1036.498173611366
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	5425	3432.6046887114417	1043.3978062007602
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	7328	951.5391524214442	1013.0038884678223
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	7329	886.009177076132	1008.7827074812772
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	7333	901.9301393978918	922.0037869285034
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	7334	913.5337966225148	940.4432515981033
ArUcoTag#None	ArUcoTag#purple	Head_to_Head	12436	1000.4353250846596	1066.364327925719
ArUcoTag#None	ArUcoTag#purple	Head_to_Body	12436	3600.5763364467393	1066.364327925719
ArUcoTag#purple	ArUcoTag#None	Head_to_Body	12436	3514.330516014377	1000.4353250846596
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	10091	1021.7864931892095	1001.3187684749257
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	10092	1009.473196139421	873.4755277891414
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	10450	934.6223530703461	1247.6148178456942
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	10451	938.1333553469384	1309.8376368308843
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	10452	1174.6958192887523	1411.4405736823035
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	10471	977.4390328154561	1008.7570334368695
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11190	833.5231975050964	1089.6947486260428
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11191	948.301039211061	1095.7945023158084
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11192	946.4141818856494	1077.5282048657332
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11193	917.3381149770427	971.3663329902145
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11194	884.6917011555805	1009.7655681477308
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	11200	1023.6461438785311	966.2683815099131
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15530	1063.4276110064357	1040.26293162698
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15532	988.7681175032789	1097.9466986197049
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15537	877.5815692755847	1018.1070510312035
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15539	1060.4762308208735	924.364599492796
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15542	979.948342587953	935.0238208331587
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15543	956.190952508341	947.4951766786764
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15546	1081.8563553019058	1071.131232052261
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15547	929.371194314604	952.3686055751003
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15548	979.2082393254087	942.8233194555609
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15551	955.5636181954233	852.6468971354429
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15552	990.1014627486836	736.7109762357152
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15554	929.46746204801	1282.5883832508364
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	15554	3286.66347998598	1282.5883832508364
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15555	866.6003917179981	1286.5255852821783
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	15555	3295.0716058271287	1286.5255852821783
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15556	798.8591115801634	1256.255543096571
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	15556	3368.7998154614343	1256.255543096571
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15557	817.9113114548124	1207.8573654938116
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	15557	3365.831183621589	1207.8573654938116
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15558	862.8874893866555	1223.3729664146324
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	15558	3349.385248048413	1223.3729664146324
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15559	824.2556742338943	1225.0476554365766
ArUcoTag#black	ArUcoTag#purple	Head_to_Body	15559	3281.140736984891	1225.0476554365766
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15561	912.7529184743538	1335.903094323467
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15562	888.0196012010722	1337.8147449906885
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15563	876.9066597785796	1248.5638270525305
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15564	875.9878308606675	1454.9230054041227
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15565	1184.69505415253	1368.1424598199565
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15566	997.6138531009391	1397.6925045772289
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15567	930.0506284389585	1237.3166233641748
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15568	932.8653225382535	1248.655656236777
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15569	940.8208206405587	1116.4955911627674
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15580	1011.7473351498859	1266.1401568499487
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15581	948.4222360453975	1146.012465350303
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15880	953.6400757001711	923.0274584579173
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15888	1059.7320896997649	879.3747087595028
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15889	1042.3948135042274	860.1072011817195
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15890	1032.5765137016665	918.4536674767559
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	15891	1010.8217603126095	882.1360214874003
ArUcoTag#purple	ArUcoTag#black	Head_to_Body	15935	2943.022734357218	1215.225378931427
ArUcoTag#black	ArUcoTag#purple	Head_to_Head	16227	937.711971141474	1027.7827967126893
