,b'ArUcoTag#black',b'ArUcoTag#purple'
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,0.18212266059884516,
200,0.05344420221263108,
201,0.06878681741329364,
202,0.011420069595537595,
203,0.091727424535087,
204,0.14599233322658872,
205,1.8003514412017438,
206,2.522991985521881,
207,0.17594732810158709,
208,1.4069425649887144,
209,1.5962380122810818,
210,1.4579788204007476,
211,1.633402339417941,
212,0.21673278946100966,
213,0.42932582827878113,
214,1.7462339697637645,
215,0.2908120327245476,
216,0.36494833664289006,
217,0.0390966296109312,
218,1.5516291523597578,
219,0.04876951514791117,
220,1.707722782752557,
221,1.505112131421697,
222,1.5635286495394811,
223,1.6727783815663473,
224,0.11120107160138093,
225,1.7138594655055874,
226,1.9592823192303386,
227,0.17364626651041304,
228,2.033260461226008,
229,0.07151111385412398,
230,0.04144144406902592,
231,0.33159193961014455,
232,0.4122403702745459,
233,0.20058700808245886,
234,0.020432925870259553,
235,0.055511030013960565,
236,0.1396006589131565,
237,0.044815988242115856,
238,2.6755246604979996,
239,2.5733937314775273,
240,0.22052050098711887,
241,0.16010181807506588,
242,0.1059884626819811,
243,0.17390494377081805,
244,1.5571314365202524,
245,1.550287695222431,
246,0.15165423586184115,
247,1.472316953923683,
248,1.7865494192174842,
249,0.3193192000042013,
250,0.07898693992957162,
