,b'ArUcoTag#black',b'ArUcoTag#purple'
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,0.016945282005257998,
200,0.018008681170846433,
201,0.012040683280770112,
202,0.019327435406384624,
203,0.01829164164826747,
204,0.021599741612374622,
205,0.037997130022872395,
206,0.01810659629331294,
207,0.04029560476196594,
208,0.01737691371999438,
209,0.043623455567470444,
210,0.021629708907487357,
211,0.018181946881675924,
212,0.02392204411183387,
213,0.044121125648895664,
214,0.015381131850962624,
215,0.028822249069565844,
216,0.019123104406672933,
217,0.054591887202086985,
218,0.0666365836238447,
219,0.006297943881164599,
220,0.08148229934667443,
221,0.04803842920024559,
222,0.09397872699341403,
223,0.034212709551292464,
224,0.04194883948020652,
225,0.03019852753137935,
226,0.053696968689686764,
227,0.04819065731864564,
228,0.07861740978133347,
229,0.05190702737998917,
230,0.021846515127139185,
231,0.025051270007111267,
232,0.05087276612059083,
233,0.056397714642733854,
234,0.12330892074043243,
235,0.15501259541096016,
236,0.286830846470399,
237,0.3146481886329353,
238,0.06832890512687105,
239,0.040437622028856535,
240,0.06721135453428802,
241,0.24789323328703605,
242,0.27566023405686135,
243,0.09871692658926383,
244,0.04190281294838005,
245,0.06418128195631914,
246,0.24406258670986067,
247,0.17818002060185714,
248,0.0764028031989565,
249,0.0594812571753341,
