,b'ArUcoTag#black',b'ArUcoTag#purple'
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,10.912326015495198,4.214346818740492
200,6.906631862444853,5.572792360111613
201,3.0608397097554545,3.6040372189309284
202,5.06426985484821,0.13275267589499007
203,1.7549574440215265,2.1319633401366658
204,2.8125734619308487,1.9593165383812836
205,3.8176896037136276,0.0646178135556183
206,4.050157133357433,0.28950907067453907
207,6.32135684330843,1.6492855760665388
208,10.851215263359466,0.12736511321871583
209,10.507547468183137,2.003570589062617
210,5.9886668759803445,3.020810340621368
211,6.579362462136474,2.2748456609840453
212,5.945364458496814,3.0592532167083935
213,2.7152745464258095,4.433035171135033
214,3.1811742575440327,5.6101717968461235
215,4.051831060645271,3.7662439729192947
216,3.987982327867605,2.3128129093062113
217,6.965434705232892,3.3303233518179916
218,8.141813005319218,3.566419044280527
219,5.79098324036911,1.0476480279225775
220,5.313834104285305,0.08866259320451976
221,2.783397261557954,2.3201405872633654
222,1.9827283171405596,4.533931569721157
223,2.6083673479247587,2.7015681650570222
224,4.443799843492683,0.2773546137831162
225,7.840054044958418,2.247568966669432
226,7.840054044958418,1.9485405050588671
227,8.747095283210417,1.7440743554571572
228,9.772202500112643,0.517943834488424
229,6.995299726294252,2.366114046308912
230,6.494716113412524,4.841197077303133
