,b'ArUcoTag#black',b'ArUcoTag#purple'
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,4.893974435672626,1.9020714834251684
200,9.939634826090092,2.5160324334740403
201,5.538202671094153,0.295199440845472
202,2.332051896278642,0.006714300661832214
203,4.433246948735816,2.000971573273753
204,2.6386244373942254,2.007823889151325
205,2.0616746560246955,0.07687525882183095
206,0.3699276924682915,0.1548097129199074
207,1.491860139489349,0.16790616801917693
208,0.16318510090230678,2.353304453681273
209,0.10146304565870476,4.8318746125260015
210,1.8674814754588698,2.7071413842847307
211,1.9958098286271857,0.14092480387801978
212,0.14936752856919108,0.11004583344873192
213,0.19324561647623525,4.4619900583880385
214,0.4369273066911374,8.98553730090989
215,2.6374811564768548,4.580562784959829
216,3.973202795904995,0.18664010940139628
217,2.20118107054422,0.09818928798807113
218,4.700085722194333,1.6501225939478945
219,6.39928630474008,1.6222459378926337
220,2.5387366884064444,1.5734189584335891
221,1.0942044578441665,2.416005484624088
222,3.5877369292333525,2.157799778279022
223,5.787559371486265,1.5907296482147737
224,5.68359551390804,2.785499750908447
225,4.610621771260266,2.3627385001438546
226,2.915848826871293,0.47686121350456173
227,4.546328907881648,0.8080668471865811
228,4.688823291636495,2.3047172061573593
229,6.376767734608346,2.317472551194138
230,5.4371772143327135,2.879843652568282
