,b'ArUcoTag#black',b'ArUcoTag#purple'
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,1.6293148710619256,0.19554752157144797
200,0.08353403133038936,0.03325195788636923
201,0.06094754606969998,0.1184534694233627
202,0.14015291034053737,0.1048089000503644
203,0.12613823223667936,0.19149433087245088
204,1.5500834252826496,0.1298917941164499
205,2.250429935241104,0.18130925033246628
206,0.09423278634451562,1.6391869265245562
207,1.7839411874705176,1.6314972897651252
208,0.5294800684156538,0.021788402067620446
209,0.40186819656628936,0.18013338169033286
210,0.21898081216897655,0.2958139422452505
211,0.1711184583964288,0.2914030908727837
212,0.42810934866537537,0.5275310424387833
213,0.180525319204562,1.210965142107613
214,1.5385474154559837,1.6101336960749189
215,1.5710347184899882,1.9878427661012499
216,0.05639892837050812,2.0084963151951394
217,0.05615532908589376,0.2278724671316967
218,0.08240826571230281,0.15715290574437946
219,0.055803792816812865,0.07319179867893069
220,0.05436666929072302,0.1823091420527919
221,0.10257442863556485,0.026402282318007644
222,1.50543994851269,0.08061245844756085
223,1.4626977816344529,0.05592462556676979
224,0.04483259700356018,0.06850016944839932
225,0.04682319480493727,0.0745731850176233
226,0.025734932793256567,0.16545992367202078
227,0.019016075707252906,0.23205931267837357
228,0.08581243431105465,0.2820907426006426
229,1.740221668929136,1.728088096775189
