,b'ArUcoTag#black',b'ArUcoTag#purple'
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,0.04233206389315836,
200,0.01901919152071386,
201,0.008518682792668543,
202,0.016360666892588294,
203,0.04826651174240747,
204,0.018511672100999264,
205,0.028178055047833318,
206,0.028985482603436037,
207,0.011860938530787339,
208,0.03836478648210489,
209,0.044803671189266446,
210,0.011890307962349113,
211,0.02002209553926806,
212,0.043447646188473285,8.228721208854132
213,0.03430791032669214,10.163579688355941
214,0.009331407625159906,11.221338488553775
215,0.005052479764453319,9.79812824901
216,0.010570552967688602,9.22377309046622
217,0.0061006157661980115,8.708128742419166
218,0.007296190674935843,7.71712695066405
219,0.01931816329332027,8.908465380335153
220,0.0151270250844506,10.105725969463737
221,0.0063212100559897665,9.74801770802941
222,0.013527275807901007,9.74801770802941
223,0.013560222366913793,4.483885918869091
224,0.011036736029239245,4.7631974746878285
225,0.005432643223106457,8.163679837660506
226,0.018377664262600284,8.163679837660506
227,0.006317802062653608,7.106498548858042
228,0.010804300200608954,6.531751849832049
229,0.0037475784748556523,6.897643237378914
230,0.00637992579295163,9.152657582207434
231,0.015303926464065318,9.152657582207434
232,0.01178926866880705,10.165147862540431
233,0.012375893886268636,8.645348384070273
234,0.0071153256643189345,9.308480119354321
235,0.007011475837771435,7.96456877332929
