,b'ArUcoTag#black',b'ArUcoTag#purple'
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,0.11128949971814432,2.051407801193292
200,0.07788966616401007,0.357714541010998
201,0.024900698139943746,0.37513072124601937
202,0.10414646121596553,0.24515387651863937
203,0.176322390827962,0.4174163110970158
204,0.36772455851912006,0.02055806859509191
205,0.10339760800537992,0.13969506639004822
206,0.20122029881389297,0.1548819885857352
207,0.30219905807745084,0.2637163266046754
208,0.4099872652557875,0.24645925430113416
209,0.06728829790374316,0.2607667961366312
210,0.35281025904882657,0.05125220778117695
211,0.026465092900641227,0.1089711952101957
212,0.11756136484075926,0.17881604267148982
213,0.06806373016263326,0.2599741611370381
214,0.23455751385739493,0.4099591144741138
215,0.1537842867581845,1.9454358946968124
216,0.3773021999554178,0.7822412520421163
217,0.07722625700765262,1.4663639623431257
218,0.3863543722823343,1.9762348218654837
219,0.012031872055147871,1.8647179078286578
220,0.1226345953155294,0.38880043802873504
221,0.5940800664240106,0.09685197083483363
222,0.13112649858226827,0.21155119957671129
223,0.4365504051685501,0.2595296034884142
224,2.1534643718102178,2.0158039642419885
225,2.974931629526573,1.4247039621398405
226,2.4273911010563967,2.1052908603295157
227,0.12594689622410613,1.673731852592681
228,2.4447701657511827,2.553153605028023
229,1.7027792798444144,1.912177090035163
