,b'ArUcoTag#black',b'ArUcoTag#purple'
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,2.4692858015711225,7.228209071666681
200,0.5964971958252092,13.964754362153693
201,2.2662644963608267,14.740027626993205
202,2.8360723624414836,11.733801980962925
203,0.7639241844464656,12.461108074106352
204,1.7087462758005023,12.613983412710807
205,0.4773982111885379,13.461100133975014
206,3.2950393147616746,11.824260719235545
207,4.8713902206948205,7.322943942007964
208,6.771416405029995,8.275150587297821
209,8.513874002616687,11.62232540323619
210,6.788254129335288,21.27615510115049
211,3.297376573209043,19.965755467672228
212,3.359820777819367,9.053943255898826
213,5.040194229653508,5.487293416938538
214,4.69302246981592,5.988850554218687
215,3.950866207877037,7.105760984220339
216,4.5741276200547505,4.5784839064886915
217,5.453967008770865,5.623951639557358
218,7.580810598534534,9.340717668712161
219,9.464990567391913,11.79055871677731
220,10.370699349286076,12.040269604464521
221,4.643211959282102,12.412063945391493
222,4.342140099352353,11.637229092545478
223,7.061164847445771,10.838718774172804
224,14.346731603591277,14.003055507330892
225,14.197006158969211,17.97872254370678
226,7.708717082495517,15.120246457522548
227,5.798230449728753,9.672819257294243
228,6.758208894542491,7.384358257366738
229,6.633030452140924,10.677357277980581
230,3.800411083454755,7.455724443318031
231,7.219083475914563,0.5600535185499972
