,b'ArUcoTag#black',b'ArUcoTag#purple'
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,0.12827251086860764,8.425961754819207
200,0.051392770423191604,8.425961754819166
201,0.10276961519940482,8.425961754819166
202,1.5174796101298702,8.425961754819207
203,0.052725376138412626,4.997270757752606
204,1.6384932883319865,2.7653250629709603
205,1.4348285172775854,6.312861587510181
206,1.5808765218657637,8.040116237467833
207,1.4496328721812164,7.016374037636762
208,1.4313653965807298,5.599955497622514
209,2.0520373837205166,3.4873098022791438
210,2.0019431232574716,4.6771406610236035
211,1.3573565300128982,5.3282719374286165
212,0.09203973055885997,1.3637111513376348
213,1.5732300119739893,2.0821413050549373
214,2.206737321928636,7.608629347056662
215,0.05536438768471294,7.018961499894076
216,2.210744928804328,3.4624332154392823
217,0.06375791113749651,4.705975598781698
218,2.151848079167959,8.351747366471209
219,2.0904638228921324,7.286596014047023
220,2.158299322541187,4.548770668421175
221,0.050156287225964956,3.9681873631695677
222,2.1791235083442277,0.7930610984962367
223,0.014506639179447738,4.7956786400747555
224,2.158126875018038,4.9896315091044885
225,2.068700396953415,5.499700161498654
226,0.14390617599443983,7.9634855876675505
227,2.1730755144070106,8.423059609594185
228,2.0105266059463758,3.998786792489581
229,1.5636157191916409,5.8159829316551654
230,0.043155545909146,8.06436924354913
