,b'ArUcoTag#black',b'ArUcoTag#purple'
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,0.009790056185814397,0.28314589875922447
200,0.004892339948083923,2.188362150082574
201,0.009677344890805984,2.09914511870722
202,0.011163803933141156,0.3056282046799473
203,0.0012267914576563586,1.0019855071109047
204,0.0026499381525991713,2.2264612377714292
205,0.003766047196839031,2.9393229923084645
206,0.013552828614572058,2.947887426476766
207,0.013702902327743358,1.808200563777973
208,0.008437213539629581,1.7955694631094266
209,0.007169292961684132,0.4325207372404413
210,0.004165174296465532,1.8458797413221546
211,0.006959078522333606,0.3872335263744636
212,0.009913140980824466,1.8990842844285785
213,0.0045841425123597165,1.5615559446924572
214,0.006940853992104248,0.2465381016644089
215,0.009807164536616295,0.18215637664623638
216,0.0019473945475517354,1.8285420955252838
217,0.001692556716780035,0.19781260619981755
218,0.005677663980473444,1.5990958326834241
219,0.0077228166933040205,2.2101324287120554
220,0.003265951231581861,0.3187320449975262
221,0.013027396137641221,1.4983093266194143
222,0.014211102619438693,1.5504365175725356
223,0.0036671921107909672,0.5992894173273609
224,0.004920811613951751,0.48600620986834164
225,0.004071552753944804,0.09840694380879332
226,0.0014300994279614235,0.3436355034381444
227,0.0008211440458419012,1.83866715520768
228,0.0015151601058723645,1.8282149457812225
