,b'ArUcoTag#black',b'ArUcoTag#purple'
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,0.3388882679937111,0.08920640967818563
200,0.31128511797380043,0.04143748859402484
201,0.09365278533298417,0.07159850489138268
202,0.11872392622273753,0.0795599114704149
203,0.1630091000763652,0.04959496116000559
204,4.8574578194396505,0.1529489898436364
205,11.405002874053688,0.1796538279952882
206,5.0341277707195085,0.14608716197637758
207,1.7951348879338584,0.2566791389400256
208,0.6834666597209573,0.10758969895705212
209,2.3144284943686446,0.04138080066747503
210,3.176202530157896,0.06822557297310844
211,0.5613673664968963,0.05169545321699767
212,2.1351207371155496,0.06083845868684801
213,1.7726432914694203,0.048831262487700165
214,1.3249905293785222,0.008430808911050785
215,1.7198826734163348,1.3577139012014425
216,0.8949708025248206,1.3372550972432036
217,1.4589441547952489,1.5736701153655064
218,0.293446040780774,1.6287483509293974
219,2.114191290357313,1.4998540301253285
220,2.2656466417779377,1.5777027632249245
221,3.252981828853168,1.4925304163616202
222,3.6416630196289392,0.02989757148439391
223,4.373545190447861,1.3140064588723503
224,3.6851383070198573,1.7981778480220627
225,3.546854693039821,1.5138127553660325
226,3.7104920864076174,0.1254612192148036
227,2.1588271527535263,0.10454695148889961
228,2.6193952244665266,0.04984240879897163
229,2.3104162465443556,0.05907260409721867
